fc346d27-1ec8-46b2-9d4c-8cd2ae8db907	Piyush Goyal	person	IN	221	Piyush Goyal||Goyal||Piyush
672c8c03-8534-4a7a-bda4-060f648421be	K. Chandrashekar Rao	person	IN	210	K Chandrashekar Rao||K Chandrashekhar Rao||KCR||former CM Telangana||Kalvakuntla Chandrashekar Rao||Chandrashekar Rao||BRS chief||TRS chief||K. Chandrashekar Rao ( BRS )||Former CM KCR||BRS Chief
d3769ff7-d6ea-4422-adce-425ee919b41f	M. K. Stalin	person	IN	203	MK Stalin||Stalin
0a46add7-2c08-4644-8b6e-52e0b0aa289a	S Jaishankar	person		182	S Jaishankar||S. Jaishankar||Jaishankar
2d3f60df-dc85-4e38-97f3-46ed7ad88032	YSR Congress Party	organization	IN	158	YCP||YSR Congress Party||YSRCP
acf3bef2-98b6-43a6-924c-2488cc25bba4	Rajnath Singh	person	IN	155	Rajnath Singh (Rajnath Singh)||Shri Rajnath Singh||Dr. Rajnath Singh||Rajnath||Prof. Rajnath Singh
a1b3847c-a5e7-43fe-8fb7-012009389177	Pinarayi Vijayan	person	IN	152	Vijayan||MLA Vijayan||Shri Pinarayi Vijayan||Dr. Pinarayi Vijayan||Prof. Pinarayi Vijayan||Pinarayi Vijayan (Pinarayi Vijayan)
c62035fa-1799-463b-bcd6-1295b6084a56	Nationalist Congress Party	person	IN	150	Nationalist Party||Shri Nationalist Congress Party||Dr. Nationalist Congress Party||NCP||Prof. Nationalist Congress Party||Party||MP Party
ea8aed00-f956-422d-a2ab-58735bdc56a1	Yogi Adityanath	person	IN	140	Yogi||CM Yogi||Yogi Adityanath
d3c1e74b-e794-4e78-a10c-a047144ff123	Telugu Desam Party	person	IN	122	Party||Shri Telugu Desam Party||Prof. Telugu Desam Party||Dr. Telugu Desam Party||Telugu Party||MP Party||TDP
e45e2357-2b58-4a82-b9c7-905848780359	Enforcement Directorate	organization	IN	115	ED
54013768-1203-4508-8386-4a7df7bfba1f	Arvind Kejriwal	person	IN	101	Kejriwal||Arvind Kejriwal||CM Kejriwal
